Id,SalePrice
1461,128426.164
1462,160651.55
1463,183741.28
1464,194873.48
1465,185418.55
1466,173970.88
1467,173179.27
1468,166190.1
1469,176165.67
1470,126505.57
1471,192012.97
1472,95204.695
1473,93678.03
1474,154000.23
1475,126430.65
1476,370866.97
1477,251167.3
1478,294798.03
1479,248567.92
1480,537393.06
1481,328356.1
1482,208594.23
1483,170488.22
1484,162799.48
1485,179213.89
1486,195515.1
1487,336446.0
1488,235095.14
1489,204525.78
1490,215206.03
1491,189287.02
1492,89955.34
1493,191020.14
1494,284898.12
1495,282471.3
1496,238555.66
1497,176771.77
1498,156979.23
1499,158974.19
1500,154441.3
1501,180193.98
1502,149266.67
1503,308200.84
1504,241295.36
1505,225998.33
1506,180088.7
1507,241570.77
1508,199916.98
1509,155918.6
1510,146925.52
1511,141150.3
1512,173948.97
1513,146632.42
1514,176978.22
1515,192017.97
1516,154091.19
1517,159848.89
1518,135288.17
1519,225098.17
1520,134448.3
1521,135598.66
1522,174059.58
1523,113049.3
1524,123747.86
1525,125228.8
1526,121137.62
1527,108168.9
1528,132467.4
1529,151172.27
1530,178235.0
1531,96624.27
1532,99728.055
1533,150412.44
1534,122455.266
1535,149520.81
1536,106148.02
1537,81146.74
1538,173990.47
1539,203361.1
1540,83199.36
1541,144520.56
1542,143366.45
1543,208194.45
1544,77158.01
1545,113674.87
1546,130788.516
1547,135294.2
1548,138093.77
1549,119681.086
1550,146418.61
1551,112410.02
1552,138701.56
1553,154991.55
1554,110792.09
1555,167954.36
1556,74959.59
1557,113832.5
1558,97844.99
1559,76496.82
1560,139600.17
1561,134629.3
1562,127816.39
1563,121502.22
1564,153418.61
1565,150128.69
1566,237253.7
1567,75262.46
1568,227317.14
1569,141126.92
1570,134010.12
1571,115786.48
1572,150362.34
1573,239461.58
1574,120502.58
1575,216808.64
1576,238236.67
1577,192991.69
1578,145817.2
1579,146805.45
1580,187441.33
1581,153449.34
1582,126536.445
1583,321106.38
1584,233654.39
1585,140578.5
1586,71935.53
1587,95079.59
1588,150765.02
1589,98086.38
1590,136592.94
1591,94154.88
1592,114543.54
1593,127081.21
1594,127881.11
1595,127774.84
1596,251491.58
1597,197904.0
1598,212917.28
1599,184193.94
1600,175681.19
1601,73963.53
1602,113426.42
1603,75027.49
1604,278927.2
1605,244773.62
1606,169577.56
1607,173014.48
1608,212873.28
1609,187971.95
1610,152390.66
1611,137888.94
1612,164701.77
1613,166522.86
1614,127944.96
1615,87862.89
1616,72049.484
1617,92618.79
1618,127641.42
1619,143903.27
1620,183676.8
1621,137044.97
1622,142353.97
1623,291348.4
1624,214317.62
1625,126505.484
1626,168984.19
1627,184804.97
1628,276711.12
1629,176301.28
1630,368877.1
1631,225329.0
1632,243467.58
1633,166290.2
1634,190156.9
1635,180746.94
1636,151780.38
1637,194616.39
1638,198566.36
1639,177918.42
1640,249313.84
1641,172673.84
1642,230271.06
1643,223471.78
1644,234354.98
1645,188061.03
1646,160952.2
1647,158928.22
1648,133832.31
1649,141187.77
1650,112898.555
1651,123023.39
1652,101057.53
1653,101409.31
1654,150076.47
1655,145750.98
1656,151160.25
1657,153088.31
1658,148236.03
1659,133733.19
1660,155979.45
1661,467836.28
1662,413030.7
1663,371238.22
1664,531640.4
1665,311751.44
1666,325663.38
1667,371663.28
1668,328651.53
1669,294751.5
1670,336119.5
1671,252132.69
1672,531262.8
1673,300579.62
1674,252032.48
1675,186042.1
1676,190418.53
1677,216290.83
1678,521091.56
1679,415468.25
1680,340447.9
1681,254737.78
1682,300526.44
1683,173390.83
1684,172781.1
1685,173027.39
1686,165646.67
1687,163255.56
1688,183938.88
1689,192149.86
1690,191360.36
1691,182114.45
1692,264753.47
1693,162443.62
1694,181945.73
1695,166100.67
1696,268786.7
1697,173673.88
1698,361497.28
1699,298054.62
1700,246304.89
1701,269885.2
1702,252662.8
1703,249826.25
1704,290429.7
1705,227087.25
1706,471127.97
1707,221263.66
1708,204984.77
1709,277151.3
1710,221274.42
1711,264745.78
1712,250711.88
1713,269113.75
1714,221693.97
1715,208543.45
1716,190385.34
1717,170124.19
1718,139558.66
1719,203980.98
1720,240379.23
1721,167606.34
1722,127286.49
1723,157475.02
1724,211082.69
1725,244188.38
1726,184091.95
1727,157666.69
1728,180419.0
1729,164257.64
1730,157323.17
1731,118494.49
1732,131756.88
1733,121838.64
1734,120640.15
1735,131307.33
1736,117880.41
1737,327355.72
1738,215243.28
1739,253844.88
1740,227821.34
1741,187068.28
1742,175829.58
1743,172606.73
1744,302060.75
1745,227096.7
1746,202129.31
1747,218011.14
1748,224105.7
1749,151378.14
1750,128108.6
1751,229891.86
1752,122935.17
1753,152444.06
1754,202423.73
1755,166091.33
1756,129130.06
1757,121192.09
1758,141036.88
1759,161558.4
1760,166467.7
1761,144430.61
1762,179101.44
1763,171089.61
1764,117611.516
1765,173900.88
1766,166653.7
1767,208341.8
1768,147779.31
1769,169508.39
1770,159682.97
1771,134380.38
1772,139611.69
1773,131188.97
1774,129762.88
1775,137736.7
1776,119872.266
1777,112040.266
1778,139498.22
1779,118247.5
1780,178926.78
1781,129040.39
1782,95670.0
1783,145198.52
1784,106018.85
1785,122613.93
1786,141391.36
1787,157678.3
1788,60427.523
1789,97013.94
1790,83474.83
1791,184683.27
1792,155130.88
1793,131733.48
1794,146112.98
1795,132716.2
1796,121905.89
1797,112857.664
1798,124056.555
1799,114622.93
1800,135099.48
1801,130899.37
1802,134542.45
1803,148218.44
1804,139873.4
1805,138362.67
1806,115025.08
1807,139320.45
1808,124797.766
1809,125693.57
1810,147025.38
1811,94150.02
1812,94427.05
1813,123660.15
1814,95047.28
1815,54198.375
1816,93261.914
1817,119858.14
1818,143163.77
1819,127633.66
1820,41228.598
1821,113233.23
1822,152951.11
1823,31016.508
1824,135097.72
1825,132858.05
1826,100115.11
1827,103520.46
1828,136787.61
1829,109073.125
1830,143629.89
1831,159890.3
1832,81059.47
1833,147202.8
1834,120828.71
1835,142840.94
1836,124600.664
1837,85142.51
1838,127363.164
1839,92071.234
1840,162366.95
1841,155111.17
1842,87927.64
1843,132313.34
1844,135764.42
1845,142617.23
1846,155364.05
1847,164600.4
1848,62622.0
1849,112699.875
1850,121437.57
1851,151873.53
1852,126626.625
1853,139692.27
1854,169869.14
1855,140050.22
1856,213914.39
1857,146562.39
1858,134297.11
1859,121282.04
1860,147698.5
1861,121991.836
1862,303079.1
1863,292941.8
1864,293013.03
1865,330526.2
1866,340145.47
1867,235696.69
1868,304817.88
1869,201494.78
1870,240629.3
1871,251935.19
1872,171780.34
1873,243340.9
1874,143982.62
1875,202413.31
1876,199353.16
1877,210974.25
1878,194813.83
1879,131480.11
1880,136547.44
1881,234895.58
1882,255322.0
1883,193016.56
1884,208634.92
1885,249510.61
1886,294821.12
1887,204020.94
1888,277906.97
1889,163651.42
1890,125227.32
1891,134763.5
1892,106610.61
1893,128032.54
1894,127411.62
1895,134711.16
1896,121359.48
1897,119063.05
1898,110611.664
1899,156545.88
1900,150000.75
1901,179904.45
1902,151213.22
1903,217771.12
1904,151428.28
1905,197926.73
1906,183756.19
1907,216497.52
1908,113539.51
1909,138629.23
1910,122446.78
1911,220032.27
1912,287140.4
1913,143097.02
1914,50421.383
1915,341775.97
1916,68159.56
1917,255944.75
1918,140540.2
1919,161899.5
1920,152765.25
1921,439958.78
1922,337764.06
1923,206436.47
1924,231447.22
1925,201574.53
1926,395287.94
1927,134322.17
1928,154452.39
1929,120965.91
1930,134393.6
1931,140758.12
1932,135773.58
1933,177843.56
1934,178971.94
1935,171118.4
1936,184503.28
1937,182173.47
1938,177239.11
1939,244433.16
1940,185795.97
1941,169317.89
1942,182594.27
1943,208972.34
1944,350140.78
1945,387609.3
1946,165674.6
1947,331982.22
1948,177134.39
1949,231332.95
1950,183948.69
1951,245800.5
1952,211916.8
1953,168738.75
1954,186625.72
1955,128923.19
1956,268118.9
1957,154292.12
1958,314592.0
1959,140161.5
1960,115113.88
1961,119764.88
1962,98605.32
1963,106370.58
1964,110110.27
1965,143949.2
1966,143311.45
1967,301596.6
1968,466243.06
1969,406198.03
1970,471288.5
1971,471031.72
1972,388235.9
1973,260595.12
1974,319021.5
1975,523292.53
1976,271122.28
1977,344885.16
1978,360161.84
1979,324049.16
1980,193845.52
1981,341370.12
1982,230502.61
1983,208367.5
1984,167010.73
1985,222869.78
1986,210990.25
1987,182899.0
1988,174751.72
1989,187832.78
1990,218249.64
1991,244317.25
1992,213372.02
1993,168993.78
1994,241990.86
1995,181248.58
1996,244112.7
1997,303989.0
1998,339676.62
1999,265179.88
2000,305587.53
2001,266326.75
2002,240808.4
2003,251779.9
2004,267590.4
2005,219465.47
2006,233134.3
2007,247936.0
2008,219065.69
2009,191915.05
