LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,Fireplaces,ScreenPorch,MSSubClass_160,MSZoning_C (all),MSZoning_FV,MSZoning_RL,LandSlope_Gtl,LandSlope_Mod,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_StoneBr,Condition1_Artery,Condition1_RRAe,OverallCond_3,OverallCond_4,OverallCond_5,OverallCond_6,BsmtExposure_Gd,Heating_Grav,KitchenQual_Ex,Functional_Maj2,Functional_Mod,GarageType_2Types,GarageQual_Ex,SaleCondition_Normal
13.66163337622739,9,2007,2007,134.97638033133887,1869.0,6.5299769696007814,0.0,8.465094865930006,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14.554809311399033,5,1969,1969,78.64058426737627,1248.0,6.279197718703751,1577.0957304759586,8.898447999381888,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
14.493253750731276,6,1976,1976,61.166379358888896,1029.0,6.103977514794952,0.0,7.761110218263361,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13.418585088022635,6,1924,1950,0.0,617.0,5.947064835717153,523.6128507055284,8.02105256564164,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
15.463783947824918,5,2006,2006,100.88829639605942,1140.0,6.157896386585959,0.0,7.84870267416818,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.43364606021084,6,1971,2004,69.13476981902201,1258.0,6.232587317052034,0.0,7.970753098547833,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.623267493461567,6,1993,1994,33.396507848740214,697.0,5.780603820107457,963.7697697320076,8.190537170827673,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14.54636086641931,5,1960,1960,73.14667611511138,1105.0,6.134191311865738,1417.9284863855123,8.712265041304283,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13.480169016221192,5,1940,1992,43.57238512160927,788.0,5.890843449744623,0.0,7.4190277381421685,2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.126988104932302,7,1931,1950,90.70348895519702,952.0,6.074709214084959,899.5416728454791,8.399606354386238,2,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12.163250292258951,5,1945,1997,50.62742767466032,686.0,5.947951847946948,0.0,7.510042709321778,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.290421648669893,6,1995,1996,82.19708414656014,806.0,5.89275601525775,916.8204043658519,8.248252266402774,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14.306941933234267,5,1904,2002,72.3568902180459,650.0,6.025312749603541,689.3790100832094,8.221748059960992,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.915453027868637,9,2008,2008,31.4308244605214,1702.0,6.460069964891173,0.0,8.347667928289008,1,26.506769619673182,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
13.973432174571474,7,1920,1988,9.950469383930853,650.0,5.9171806559118005,773.9737299010598,8.174643449626467,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
